run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,cumulative_bugs,novelty,diversity,avg_input_length,avg_input_length_pop
0,0,0.474987,0.396522,0.500000,3,3,0.545455,0.768170,23.97,25.19
0,1,0.424275,0.398862,0.545455,3,3,0.545455,0.765448,22.09,25.83
0,2,0.422307,0.403945,0.545455,3,3,0.545455,0.770404,24.85,23.96
0,3,0.425661,0.402354,0.545455,3,3,0.545455,0.774749,38.81,24.62
0,4,0.424958,0.406682,0.545455,3,3,0.545455,0.778860,29.51,24.96
0,5,0.428395,0.407384,0.545455,3,3,0.568182,0.780776,28.89,26.72
0,6,0.426083,0.408084,0.545455,3,3,0.568182,0.780761,27.45,25.82
0,7,0.426390,0.412908,0.545455,3,3,0.568182,0.783109,27.26,26.43
0,8,0.426190,0.411651,0.545455,3,3,0.568182,0.781952,24.19,25.57
0,9,0.426337,0.414169,0.545455,3,3,0.568182,0.784093,28.35,25.02
0,10,0.426256,0.413420,0.545455,3,3,0.568182,0.783423,23.95,25.35
0,11,0.426370,0.412880,0.545455,3,3,0.568182,0.786402,26.71,25.37
0,12,0.426820,0.414317,0.545455,3,3,0.568182,0.785702,28.06,25.70
0,13,0.426826,0.413851,0.545455,3,3,0.568182,0.785609,26.49,25.68
0,14,0.426932,0.417524,0.545455,3,3,0.568182,0.787986,23.03,26.19
0,15,0.426871,0.417509,0.545455,3,3,0.568182,0.787846,25.93,25.96
0,16,0.437391,0.418062,0.568182,3,3,0.568182,0.787387,26.03,25.48
0,17,0.426888,0.417357,0.545455,3,3,0.568182,0.788383,22.69,25.57
0,18,0.438042,0.419131,0.568182,3,3,0.568182,0.788419,27.25,25.78
0,19,0.426965,0.419008,0.545455,3,3,0.568182,0.787669,26.63,25.52
0,20,0.427305,0.421140,0.545455,3,3,0.568182,0.789599,25.30,26.26
0,21,0.437528,0.418341,0.568182,3,3,0.568182,0.790172,26.30,26.65
0,22,0.427034,0.420219,0.545455,3,3,0.568182,0.789819,27.27,26.13
0,23,0.427346,0.421479,0.545455,3,3,0.568182,0.790811,26.21,26.74
0,24,0.427382,0.420243,0.545455,3,3,0.568182,0.792745,26.09,26.99
0,25,0.427612,0.422148,0.545455,3,3,0.568182,0.792173,27.68,26.36
0,26,0.427347,0.421579,0.545455,3,3,0.568182,0.793595,27.03,27.14
0,27,0.427496,0.420643,0.545455,3,3,0.568182,0.794457,27.25,26.87
0,28,0.427584,0.421244,0.545455,3,3,0.568182,0.794735,27.86,26.90
0,29,0.427853,0.421918,0.545455,3,3,0.568182,0.795320,26.75,26.82
0,30,0.427983,0.423468,0.545455,3,3,0.568182,0.797241,27.78,27.47
0,31,0.428063,0.420994,0.545455,3,3,0.568182,0.798103,29.98,27.47
0,32,0.427841,0.422232,0.545455,3,3,0.568182,0.798320,30.47,27.68
0,33,0.427772,0.421013,0.545455,3,3,0.568182,0.798007,29.63,27.49
0,34,0.428237,0.424067,0.545455,3,3,0.568182,0.799282,27.22,27.40
0,35,0.428009,0.422118,0.545455,3,3,0.568182,0.799569,28.59,27.52
0,36,0.427999,0.422453,0.545455,3,3,0.568182,0.800289,26.95,27.76
0,37,0.428154,0.425705,0.545455,3,3,0.568182,0.801472,27.79,27.96
0,38,0.428082,0.424818,0.545455,3,3,0.568182,0.800913,26.67,28.04
0,39,0.428013,0.422393,0.545455,3,3,0.568182,0.800637,27.50,27.99
0,40,0.428030,0.424651,0.545455,3,3,0.568182,0.801754,28.62,28.40
0,41,0.428133,0.423649,0.545455,3,3,0.568182,0.801272,31.18,29.49
0,42,0.428171,0.423059,0.545455,3,3,0.568182,0.801377,29.31,29.12
0,43,0.428171,0.427011,0.545455,3,3,0.568182,0.803184,29.27,29.02
0,44,0.428481,0.426506,0.545455,3,3,0.568182,0.803596,29.02,29.37
0,45,0.428307,0.423140,0.545455,3,3,0.568182,0.804098,29.52,30.00
0,46,0.428403,0.425473,0.545455,3,3,0.568182,0.804330,31.26,29.54
0,47,0.428252,0.426596,0.545455,3,3,0.568182,0.804436,30.63,30.77
0,48,0.428284,0.427199,0.545455,3,3,0.568182,0.804666,32.50,30.24
0,49,0.428457,0.426369,0.545455,3,3,0.568182,0.805337,34.70,30.49
0,50,0.428352,0.424838,0.545455,3,3,0.568182,0.805247,29.25,30.45
0,51,0.428673,0.426410,0.545455,3,3,0.568182,0.805722,31.81,30.95
0,52,0.428303,0.426373,0.545455,3,3,0.568182,0.804727,32.55,30.61
0,53,0.428594,0.426232,0.545455,3,3,0.568182,0.805271,31.67,30.95
0,54,0.428566,0.424272,0.545455,3,3,0.568182,0.805669,32.22,31.06
0,55,0.428683,0.427712,0.545455,3,3,0.568182,0.806497,32.79,31.26
0,56,0.428664,0.426826,0.545455,3,3,0.568182,0.805804,32.26,31.86
0,57,0.428519,0.426921,0.545455,3,3,0.568182,0.806903,34.35,31.78
0,58,0.428437,0.426592,0.545455,3,3,0.568182,0.806471,31.45,31.62
0,59,0.428697,0.426860,0.545455,3,3,0.568182,0.806371,32.69,32.10
1,0,0.474815,0.395332,0.500000,3,3,0.545455,0.764405,22.42,27.27
1,1,0.436656,0.402127,0.568182,3,3,0.568182,0.767947,29.94,26.25
1,2,0.412378,0.400413,0.522727,3,3,0.568182,0.766599,24.46,26.40
1,3,0.423309,0.405827,0.545455,3,3,0.568182,0.766447,28.85,25.74
1,4,0.424370,0.404292,0.545455,3,3,0.568182,0.765131,25.87,26.38
1,5,0.424353,0.405288,0.545455,3,3,0.568182,0.766016,24.27,26.15
1,6,0.424710,0.406955,0.545455,3,3,0.568182,0.766240,29.16,26.06
1,7,0.424671,0.408253,0.545455,3,3,0.568182,0.769062,27.74,24.79
1,8,0.424807,0.408954,0.545455,3,3,0.568182,0.769327,23.90,24.76
1,9,0.425102,0.409792,0.545455,3,3,0.568182,0.768981,22.43,24.12
1,10,0.424881,0.408205,0.545455,3,3,0.568182,0.769473,24.11,24.51
1,11,0.435704,0.414634,0.568182,3,3,0.568182,0.770239,23.52,24.02
1,12,0.425735,0.412371,0.545455,3,3,0.568182,0.773079,23.01,23.86
1,13,0.425686,0.412543,0.545455,3,3,0.568182,0.772395,24.20,23.84
1,14,0.436529,0.418556,0.568182,3,3,0.568182,0.776353,23.87,23.97
1,15,0.426071,0.418798,0.545455,3,3,0.568182,0.775532,24.47,24.11
1,16,0.426312,0.417218,0.545455,3,3,0.568182,0.777472,24.07,24.98
1,17,0.425749,0.417891,0.545455,3,3,0.568182,0.777386,22.85,24.13
1,18,0.426057,0.416199,0.545455,3,3,0.568182,0.778351,23.95,24.02
1,19,0.426249,0.419253,0.545455,3,3,0.568182,0.777661,24.15,23.99
1,20,0.426710,0.418601,0.545455,3,3,0.568182,0.780578,26.92,24.73
1,21,0.426800,0.414362,0.545455,3,3,0.568182,0.781323,25.08,24.57
1,22,0.435731,0.417812,0.568182,3,3,0.568182,0.781863,23.28,25.09
1,23,0.426648,0.420250,0.545455,3,3,0.568182,0.783506,24.03,24.86
1,24,0.426530,0.419591,0.545455,3,3,0.568182,0.784616,25.05,25.17
1,25,0.426720,0.420361,0.545455,3,3,0.568182,0.787847,25.79,26.11
1,26,0.426910,0.420030,0.545455,3,3,0.568182,0.787900,27.64,26.22
1,27,0.426880,0.418487,0.545455,3,3,0.568182,0.789783,30.85,27.61
1,28,0.427216,0.420934,0.545455,3,3,0.568182,0.789810,26.00,27.79
1,29,0.427030,0.421388,0.545455,3,3,0.568182,0.790940,31.52,28.31
1,30,0.427177,0.421600,0.545455,3,3,0.568182,0.791864,26.40,28.51
1,31,0.427270,0.420803,0.545455,3,3,0.568182,0.791883,27.64,28.79
1,32,0.427307,0.419611,0.545455,3,3,0.568182,0.792320,27.00,29.32
1,33,0.427251,0.421869,0.545455,3,3,0.568182,0.792519,30.34,29.91
1,34,0.427183,0.420626,0.545455,3,3,0.568182,0.793453,29.35,30.53
1,35,0.427650,0.422419,0.545455,3,3,0.568182,0.793107,30.21,29.90
1,36,0.427819,0.422739,0.545455,3,3,0.568182,0.793892,31.16,30.41
1,37,0.438454,0.424568,0.568182,3,3,0.568182,0.796299,27.77,30.77
1,38,0.427462,0.424126,0.545455,3,3,0.568182,0.795370,31.54,31.10
