run_id,generation,nonterminal,rule_index,probability
0,15,<digit>,7,0.039341
0,15,<digit>,8,0.271170
0,15,<digit>,9,0.038470
0,15,<digits>,0,0.346249
0,15,<digits>,1,0.653751
0,15,<fragment>,0,0.446672
0,15,<fragment>,1,0.553328
0,15,<hex>,0,0.278985
0,15,<hex>,1,0.367918
0,15,<hex>,2,0.353097
0,15,<host>,0,0.517372
0,15,<host>,1,0.482628
0,15,<hostname>,0,0.475294
0,15,<hostname>,1,0.524706
0,15,<ipv4>,0,1.000000
0,15,<key>,0,1.000000
0,15,<label>,0,1.000000
0,15,<octet>,0,0.493178
0,15,<octet>,1,0.506822
0,15,<path>,0,0.225745
0,15,<path>,1,0.248016
0,15,<path>,2,0.526239
0,15,<pchar>,0,0.285714
0,15,<pchar>,1,0.189466
0,15,<pchar>,2,0.168924
0,15,<pchar>,3,0.141834
0,15,<pchar>,4,0.214063
0,15,<pchars>,0,0.639322
0,15,<pchars>,1,0.360678
0,15,<port>,0,1.000000
0,15,<qparam>,0,0.538879
0,15,<qparam>,1,0.461121
0,15,<qparams>,0,0.352487
0,15,<qparams>,1,0.647513
0,15,<query>,0,0.474188
0,15,<query>,1,0.525812
0,15,<qvalue>,0,0.400172
0,15,<qvalue>,1,0.599828
0,15,<scheme>,0,0.141132
0,15,<scheme>,1,0.327861
0,15,<scheme>,2,0.293043
0,15,<scheme>,3,0.237964
0,15,<segment>,0,1.000000
0,15,<segments>,0,0.363179
0,15,<segments>,1,0.636821
0,15,<start>,0,1.000000
0,15,<url>,0,1.000000
0,15,<wchar>,0,0.196289
0,15,<wchar>,1,0.271513
0,15,<wchar>,2,0.181426
0,15,<wchar>,3,0.350772
0,15,<word>,0,0.773950
0,15,<word>,1,0.226050
0,20,<authority>,0,0.464499
0,20,<authority>,1,0.535501
0,20,<digit>,0,0.284996
0,20,<digit>,1,0.072145
0,20,<digit>,2,0.054586
0,20,<digit>,3,0.032168
0,20,<digit>,4,0.000000
0,20,<digit>,5,0.075877
0,20,<digit>,6,0.085373
0,20,<digit>,7,0.029132
0,20,<digit>,8,0.223083
0,20,<digit>,9,0.142639
0,20,<digits>,0,0.304185
0,20,<digits>,1,0.695815
0,20,<fragment>,0,0.434744
0,20,<fragment>,1,0.565256
0,20,<hex>,0,0.334953
0,20,<hex>,1,0.448081
0,20,<hex>,2,0.216965
0,20,<host>,0,0.563460
0,20,<host>,1,0.436540
0,20,<hostname>,0,0.601767
0,20,<hostname>,1,0.398233
0,20,<ipv4>,0,1.000000
0,20,<key>,0,1.000000
0,20,<label>,0,1.000000
0,20,<octet>,0,0.338091
0,20,<octet>,1,0.661909
0,20,<path>,0,0.221668
0,20,<path>,1,0.223075
0,20,<path>,2,0.555257
0,20,<pchar>,0,0.231669
0,20,<pchar>,1,0.203256
0,20,<pchar>,2,0.241237
0,20,<pchar>,3,0.119572
0,20,<pchar>,4,0.204267
0,20,<pchars>,0,0.649276
0,20,<pchars>,1,0.350724
0,20,<port>,0,1.000000
0,20,<qparam>,0,0.534752
0,20,<qparam>,1,0.465248
0,20,<qparams>,0,0.390208
0,20,<qparams>,1,0.609792
0,20,<query>,0,0.457049
0,20,<query>,1,0.542951
0,20,<qvalue>,0,0.265766
0,20,<qvalue>,1,0.734234
0,20,<scheme>,0,0.226454
0,20,<scheme>,1,0.286067
0,20,<scheme>,2,0.294710
0,20,<scheme>,3,0.192768
0,20,<segment>,0,1.000000
0,20,<segments>,0,0.385595
0,20,<segments>,1,0.614405
0,20,<start>,0,1.000000
0,20,<url>,0,1.000000
0,20,<wchar>,0,0.183272
0,20,<wchar>,1,0.264741
0,20,<wchar>,2,0.000000
0,20,<wchar>,3,0.551987
0,20,<word>,0,0.746610
0,20,<word>,1,0.253390
0,25,<authority>,0,0.521128
0,25,<authority>,1,0.478872
0,25,<digit>,0,0.248716
0,25,<digit>,1,0.098307
0,25,<digit>,2,0.066044
0,25,<digit>,3,0.043853
0,25,<digit>,4,0.073035
0,25,<digit>,5,0.000000
0,25,<digit>,6,0.067939
0,25,<digit>,7,0.046176
0,25,<digit>,8,0.286732
0,25,<digit>,9,0.069199
0,25,<digits>,0,0.251783
0,25,<digits>,1,0.748217
0,25,<fragment>,0,0.456362
0,25,<fragment>,1,0.543638
0,25,<hex>,0,0.243220
0,25,<hex>,1,0.392419
0,25,<hex>,2,0.364361
0,25,<host>,0,0.431883
0,25,<host>,1,0.568117
0,25,<hostname>,0,0.509105
0,25,<hostname>,1,0.490895
0,25,<ipv4>,0,1.000000
0,25,<key>,0,1.000000
0,25,<label>,0,1.000000
0,25,<octet>,0,0.344383
0,25,<octet>,1,0.655617
0,25,<path>,0,0.213832
0,25,<path>,1,0.202807
0,25,<path>,2,0.583362
0,25,<pchar>,0,0.225449
0,25,<pchar>,1,0.137839
0,25,<pchar>,2,0.237793
0,25,<pchar>,3,0.144820
0,25,<pchar>,4,0.254100
0,25,<pchars>,0,0.641823
0,25,<pchars>,1,0.358177
0,25,<port>,0,1.000000
0,25,<qparam>,0,0.502746
0,25,<qparam>,1,0.497254
0,25,<qparams>,0,0.347595
0,25,<qparams>,1,0.652405
0,25,<query>,0,0.482471
0,25,<query>,1,0.517529
0,25,<qvalue>,0,0.329373
0,25,<qvalue>,1,0.670627
0,25,<scheme>,0,0.265090
0,25,<scheme>,1,0.247265
0,25,<scheme>,2,0.307549
0,25,<scheme>,3,0.180096
0,25,<segment>,0,1.000000
0,25,<segments>,0,0.347588
0,25,<segments>,1,0.652412
0,25,<start>,0,1.000000
0,25,<url>,0,1.000000
0,25,<wchar>,0,0.121761
0,25,<wchar>,1,0.664806
0,25,<wchar>,2,0.040273
0,25,<wchar>,3,0.173161
0,25,<word>,0,0.750152
0,25,<word>,1,0.249848
0,30,<authority>,0,0.531048
0,30,<authority>,1,0.468952
0,30,<digit>,0,0.305813
0,30,<digit>,1,0.000000
0,30,<digit>,2,0.084824
0,30,<digit>,3,0.012869
0,30,<digit>,4,0.024455
0,30,<digit>,5,0.000000
0,30,<digit>,6,0.050499
0,30,<digit>,7,0.056009
0,30,<digit>,8,0.363890
0,30,<digit>,9,0.101641
0,30,<digits>,0,0.233701
0,30,<digits>,1,0.766299
0,30,<fragment>,0,0.427498
0,30,<fragment>,1,0.572502
0,30,<hex>,0,0.328442
0,30,<hex>,1,0.512010
0,30,<hex>,2,0.159548
0,30,<host>,0,0.490062
0,30,<host>,1,0.509938
0,30,<hostname>,0,0.522991
0,30,<hostname>,1,0.477009
0,30,<ipv4>,0,1.000000
0,30,<key>,0,1.000000
0,30,<label>,0,1.000000
0,30,<octet>,0,0.359125
0,30,<octet>,1,0.640875
0,30,<path>,0,0.210345
0,30,<path>,1,0.261004
0,30,<path>,2,0.528651
0,30,<pchar>,0,0.254682
0,30,<pchar>,1,0.179102
0,30,<pchar>,2,0.206168
0,30,<pchar>,3,0.112238
0,30,<pchar>,4,0.247810
0,30,<pchars>,0,0.709306
0,30,<pchars>,1,0.290694
0,30,<port>,0,1.000000
0,30,<qparam>,0,0.379333
0,30,<qparam>,1,0.620667
0,30,<qparams>,0,0.369630
0,30,<qparams>,1,0.630370
0,30,<query>,0,0.432199
0,30,<query>,1,0.567801
0,30,<qvalue>,0,0.602575
0,30,<qvalue>,1,0.397425
0,30,<scheme>,0,0.211714
0,30,<scheme>,1,0.272269
0,30,<scheme>,2,0.312779
0,30,<scheme>,3,0.203239
0,30,<segment>,0,1.000000
0,30,<segments>,0,0.332337
0,30,<segments>,1,0.667663
0,30,<start>,0,1.000000
0,30,<url>,0,1.000000
0,30,<wchar>,0,0.000000
0,30,<wchar>,1,0.753963
0,30,<wchar>,2,0.034696
0,30,<wchar>,3,0.211341
0,30,<word>,0,0.713506
0,30,<word>,1,0.286494
0,35,<authority>,0,0.573194
0,35,<authority>,1,0.426806
0,35,<digit>,0,0.327987
0,35,<digit>,1,0.000000
0,35,<digit>,2,0.002029
0,35,<digit>,3,0.020219
0,35,<digit>,4,0.000000
0,35,<digit>,5,0.027439
0,35,<digit>,6,0.059453
0,35,<digit>,7,0.069828
0,35,<digit>,8,0.397440
0,35,<digit>,9,0.095606
0,35,<digits>,0,0.264312
0,35,<digits>,1,0.735688
0,35,<fragment>,0,0.438803
0,35,<fragment>,1,0.561197
0,35,<hex>,0,0.300015
0,35,<hex>,1,0.485750
0,35,<hex>,2,0.214234
0,35,<host>,0,0.491943
0,35,<host>,1,0.508057
0,35,<hostname>,0,0.479277
0,35,<hostname>,1,0.520723
0,35,<ipv4>,0,1.000000
0,35,<key>,0,1.000000
0,35,<label>,0,1.000000
0,35,<octet>,0,0.359285
0,35,<octet>,1,0.640715
0,35,<path>,0,0.190282
0,35,<path>,1,0.215019
0,35,<path>,2,0.594699
0,35,<pchar>,0,0.065349
0,35,<pchar>,1,0.121124
0,35,<pchar>,2,0.244355
0,35,<pchar>,3,0.148072
0,35,<pchar>,4,0.421100
0,35,<pchars>,0,0.705801
0,35,<pchars>,1,0.294199
0,35,<port>,0,1.000000
0,35,<qparam>,0,0.494678
0,35,<qparam>,1,0.505322
0,35,<qparams>,0,0.322658
0,35,<qparams>,1,0.677342
0,35,<query>,0,0.483046
0,35,<query>,1,0.516954
0,35,<qvalue>,0,0.528734
0,35,<qvalue>,1,0.471266
0,35,<scheme>,0,0.273488
0,35,<scheme>,1,0.275307
0,35,<scheme>,2,0.266898
0,35,<scheme>,3,0.184307
0,35,<segment>,0,1.000000
0,35,<segments>,0,0.341761
0,35,<segments>,1,0.658239
0,35,<start>,0,1.000000
0,35,<url>,0,1.000000
0,35,<wchar>,0,0.082958
0,35,<wchar>,1,0.637400
0,35,<wchar>,2,0.031004
0,35,<wchar>,3,0.248638
0,35,<word>,0,0.730574
0,35,<word>,1,0.269426
0,40,<authority>,0,0.562597
0,40,<authority>,1,0.437403
0,40,<digit>,0,0.246458
0,40,<digit>,1,0.074272
0,40,<digit>,2,0.051911
0,40,<digit>,3,0.030273
0,40,<digit>,4,0.015065
0,40,<digit>,5,0.024198
0,40,<digit>,6,0.057725
0,40,<digit>,7,0.040468
0,40,<digit>,8,0.367327
0,40,<digit>,9,0.092303
0,40,<digits>,0,0.260929
0,40,<digits>,1,0.739071
0,40,<fragment>,0,0.426142
0,40,<fragment>,1,0.573858
0,40,<hex>,0,0.312235
0,40,<hex>,1,0.446664
0,40,<hex>,2,0.241102
0,40,<host>,0,0.510084
0,40,<host>,1,0.489916
0,40,<hostname>,0,0.557224
0,40,<hostname>,1,0.442776
0,40,<ipv4>,0,1.000000
0,40,<key>,0,1.000000
0,40,<label>,0,1.000000
0,40,<octet>,0,0.301414
0,40,<octet>,1,0.698586
0,40,<path>,0,0.190224
0,40,<path>,1,0.209734
0,40,<path>,2,0.600043
0,40,<pchar>,0,0.244122
0,40,<pchar>,1,0.119422
0,40,<pchar>,2,0.270839
0,40,<pchar>,3,0.078501
0,40,<pchar>,4,0.287116
0,40,<pchars>,0,0.605178
0,40,<pchars>,1,0.394822
0,40,<port>,0,1.000000
0,40,<qparam>,0,0.443978
0,40,<qparam>,1,0.556022
0,40,<qparams>,0,0.371270
0,40,<qparams>,1,0.628730
0,40,<query>,0,0.438662
0,40,<query>,1,0.561338
0,40,<qvalue>,0,0.580717
0,40,<qvalue>,1,0.419283
0,40,<scheme>,0,0.262474
0,40,<scheme>,1,0.313630
0,40,<scheme>,2,0.271879
0,40,<scheme>,3,0.152017
0,40,<segment>,0,1.000000
0,40,<segments>,0,0.268254
0,40,<segments>,1,0.731746
0,40,<start>,0,1.000000
0,40,<url>,0,1.000000
0,40,<wchar>,0,0.012081
0,40,<wchar>,1,0.692947
0,40,<wchar>,2,0.026870
0,40,<wchar>,3,0.268102
0,40,<word>,0,0.707732
0,40,<word>,1,0.292268
0,45,<authority>,0,0.563686
0,45,<authority>,1,0.436314
0,45,<digit>,0,0.263807
0,45,<digit>,1,0.011146
0,45,<digit>,2,0.053130
0,45,<digit>,3,0.017523
0,45,<digit>,4,0.005161
0,45,<digit>,5,0.053097
0,45,<digit>,6,0.062792
