run_id,generation,nonterminal,rule_index,probability
0,0,<DIGIT>,0,0.142928
0,0,<DIGIT>,1,0.042641
0,0,<DIGIT>,2,0.045294
0,0,<DIGIT>,3,0.128516
0,0,<DIGIT>,4,0.107796
0,0,<DIGIT>,5,0.049210
0,0,<DIGIT>,6,0.202992
0,0,<DIGIT>,7,0.080080
0,0,<DIGIT>,8,0.056498
0,0,<DIGIT>,9,0.144044
0,0,<E>,0,0.370423
0,0,<E>,1,0.289409
0,0,<E>,2,0.121138
0,0,<E>,3,0.219030
0,0,<F>,0,0.199996
0,0,<F>,1,0.184390
0,0,<F>,2,0.336300
0,0,<F>,3,0.279314
0,0,<FLOAT>,0,1.000000
0,0,<FUNC>,0,0.294364
0,0,<FUNC>,1,0.268220
0,0,<FUNC>,2,0.212380
0,0,<FUNC>,3,0.225036
0,0,<HEX>,0,0.324912
0,0,<HEX>,1,0.122110
0,0,<HEX>,2,0.552978
0,0,<HEXDIG>,0,0.088566
0,0,<HEXDIG>,1,0.036681
0,0,<HEXDIG>,2,0.087140
0,0,<HEXDIG>,3,0.071667
0,0,<HEXDIG>,4,0.058887
0,0,<HEXDIG>,5,0.029618
0,0,<HEXDIG>,6,0.060022
0,0,<HEXDIG>,7,0.049398
0,0,<HEXDIG>,8,0.033247
0,0,<HEXDIG>,9,0.076240
0,0,<HEXDIG>,10,0.025931
0,0,<HEXDIG>,11,0.082258
0,0,<HEXDIG>,12,0.100584
0,0,<HEXDIG>,13,0.021223
0,0,<HEXDIG>,14,0.105125
0,0,<HEXDIG>,15,0.073413
0,0,<INT>,0,0.282881
0,0,<INT>,1,0.717119
0,0,<NUM>,0,0.309062
0,0,<NUM>,1,0.179629
0,0,<NUM>,2,0.278164
0,0,<NUM>,3,0.233146
0,0,<R>,0,0.568123
0,0,<R>,1,0.431877
0,0,<S>,0,1.000000
0,0,<SCI>,0,0.373158
0,0,<SCI>,1,0.128377
0,0,<SCI>,2,0.498465
0,0,<T>,0,0.070120
0,0,<T>,1,0.133274
0,0,<T>,2,0.122811
0,0,<T>,3,0.154685
0,0,<T>,4,0.060458
0,0,<T>,5,0.091546
0,0,<T>,6,0.061725
0,0,<T>,7,0.143570
0,0,<T>,8,0.096415
0,0,<T>,9,0.065396
0,0,<U>,0,0.170625
0,0,<U>,1,0.242807
0,0,<U>,2,0.228126
0,0,<U>,3,0.358442
0,0,<VAR>,0,0.467714
0,0,<VAR>,1,0.329846
0,0,<VAR>,2,0.202441
0,2,<DIGIT>,0,0.074764
0,2,<DIGIT>,1,0.115588
0,2,<DIGIT>,2,0.090181
0,2,<DIGIT>,3,0.174072
0,2,<DIGIT>,4,0.156576
0,2,<DIGIT>,5,0.138454
0,2,<DIGIT>,6,0.000000
0,2,<DIGIT>,7,0.072106
0,2,<DIGIT>,8,0.041382
0,2,<DIGIT>,9,0.136878
0,2,<E>,0,0.250327
0,2,<E>,1,0.231407
0,2,<E>,2,0.168785
0,2,<E>,3,0.349481
0,2,<F>,0,0.409182
0,2,<F>,1,0.184684
0,2,<F>,2,0.317522
0,2,<F>,3,0.088612
0,2,<FLOAT>,0,1.000000
0,2,<FUNC>,0,0.273089
0,2,<FUNC>,1,0.350243
0,2,<FUNC>,2,0.193032
0,2,<FUNC>,3,0.183635
0,2,<HEX>,0,0.378598
0,2,<HEX>,1,0.440159
0,2,<HEX>,2,0.181243
0,2,<HEXDIG>,0,0.037748
0,2,<HEXDIG>,1,0.212007
0,2,<HEXDIG>,2,0.031174
0,2,<HEXDIG>,3,0.000000
0,2,<HEXDIG>,4,0.072245
0,2,<HEXDIG>,5,0.043673
0,2,<HEXDIG>,6,0.081700
0,2,<HEXDIG>,7,0.062584
0,2,<HEXDIG>,8,0.080912
0,2,<HEXDIG>,9,0.076403
0,2,<HEXDIG>,10,0.048580
0,2,<HEXDIG>,11,0.023990
0,2,<HEXDIG>,12,0.043119
0,2,<HEXDIG>,13,0.063818
0,2,<HEXDIG>,14,0.063615
0,2,<HEXDIG>,15,0.058432
0,2,<INT>,0,0.503517
0,2,<INT>,1,0.496483
0,2,<NUM>,0,0.228849
0,2,<NUM>,1,0.149964
0,2,<NUM>,2,0.380376
0,2,<NUM>,3,0.240812
0,2,<R>,0,0.674943
0,2,<R>,1,0.325057
0,2,<S>,0,1.000000
0,2,<SCI>,0,0.369893
0,2,<SCI>,1,0.239635
0,2,<SCI>,2,0.390472
0,2,<T>,0,0.110611
0,2,<T>,1,0.123109
0,2,<T>,2,0.147304
0,2,<T>,3,0.113932
0,2,<T>,4,0.071098
0,2,<T>,5,0.046322
0,2,<T>,6,0.092064
0,2,<T>,7,0.061040
0,2,<T>,8,0.086849
0,2,<T>,9,0.147671
0,2,<U>,0,0.255749
0,2,<U>,1,0.235466
0,2,<U>,2,0.175993
0,2,<U>,3,0.332792
0,2,<VAR>,0,0.246756
0,2,<VAR>,1,0.276531
0,2,<VAR>,2,0.476712
